product,binary file,Series,download_link,file_name,publish_date,bin_file_size[B],comment
P3XW,P3XW_FW_V01.06.0050.bin,DJI Phantom 3 4K,https://dl.djicdn.com/downloads/phantom_3_4k/P3XW_FW_V01.06.0050.bin,P3XW_FW_V01.06.0050.bin,8/7/2017,66383616,
WM610,WM610_FW_V01.02.01.03.bin,DJI Inspire 1,http://dl.djicdn.com/downloads/inspire_1/en/Inspire_1_Firmwarev1.2.01.03_en.zip,Inspire_1_Firmwarev1.2.01.03_en.zip,4/5/2015,39302640,
WM610,WM610_FW_V01.02.01.06.bin,DJI Inspire 1,http://dl.djicdn.com/downloads/inspire_1/en/Inspire_1_Firmwarev1.2.1.06_en.zip,Inspire_1_Firmwarev1.2.1.06_en.zip,26/5/2015,39302772,
WM610,WM610_FW_V01.03.00.00.bin,DJI Inspire 1,http://dl.djicdn.com/downloads/inspire_1/en/Inspire_1_Firmwarev1.3.0.00_en.zip,Inspire_1_Firmwarev1.3.0.00_en.zip,3/8/2015,87206772,
WM610,WM610_FW_V01.04.00.10.bin,DJI Inspire 1,http://dl.djicdn.com/downloads/inspire_1/en/Inspire_1_Firmwarev1.4.0.10_en.zip,Inspire_1_Firmwarev1.4.0.10_en.zip,6/9/2015,65995754,
WM610,WM610_FW_V01.05.00.30.bin,DJI Inspire 1,https://dl.djicdn.com/downloads/inspire_1/WM610_FW_V01.05.00.30.zip,WM610_FW_V01.05.00.30.zip,7/12/2015,75899402,
WM610,WM610_FW_V01.06.00.40.bin,DJI Inspire 1,https://dl.djicdn.com/downloads/inspire_1/WM610_FW_V01.06.00.40.zip,WM610_FW_V01.06.00.40.zip,22/12/2015,75904266,
WM610,WM610_FW_V01.07.00.90.bin,DJI Inspire 1,https://dl.djicdn.com/downloads/inspire_1/WM610_FW_V01.07.00.90.zip,WM610_FW_V01.07.00.90.zip,16/3/2016,73866254,
WM610,WM610_FW_V01.08.00.92.bin,DJI Inspire 1,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/inspire1/WM610_FW_V01.08.00.92.bin,WM610_FW_V01.08.00.92.bin,24/3/2016,73871782,
WM610,WM610_FW_V01.08.01.00.bin,DJI Inspire 1,https://dl.djicdn.com/downloads/inspire_1/WM610_FW_V01.08.01.00.zip,WM610_FW_V01.08.01.00.zip,29/9/2016,73871782,
WM610,WM610_FW_V01.11.01.50.bin,DJI Inspire 1,https://dl.djicdn.com/downloads/inspire_1/20170710/WM610_FW_V01.11.01.50.zip,WM610_FW_V01.11.01.50.zip,10/7/2017,73350122,
WM610_FC350Z,WM610_FC350Z_FW_V01.09.01.40.bin,DJI Inspire 1,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/Z3/WM610_FC350Z_FW_V01.09.01.40.bin,WM610_FC350Z_FW_V01.09.01.40.bin,9/11/2016,64079390,
WM610_FC550,WM610_FC550_FW_V01.08.00.92.bin,DJI inspire 1 Pro,https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/inspire1/WM610_FC550_FW_V01.08.00.92.bin,WM610_FC550_FW_V01.08.00.92.bin,24/3/2016,70480246,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
